1	16	3	13	2	15	4	10	5	14	6	9	7	12	8	11	Taxonomy IDs	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Fasta headers
477350	320200	483960	404140	1430400	313650	515770	1458400	386940	963060	1182600	462200	546270	597550	329030	438330	-1	33	33	32	16.3	16.3	15.8	237.77	0	294.2	1954900000	29	A2AF47;Q8BIK4-3	A2AF47	Dedicator of cytokinesis protein 11	Dock11	39	sp|A2AF47|DOC11_MOUSE Dedicator of cytokinesis protein 11 OS=Mus musculus OX=10090 GN=Dock11 PE=1 SV=1
142320	109130	154230	147230	157390	149340	135750	170760	129590	162470	158210	156030	187280	151540	83841	176360	-1	1	1	1	2.6	2.6	2.6	40.701	0.00049579	2.1826	62120000	1	Q8R3R5;A2AF53	Q8R3R5;A2AF53	Transmembrane protein 185B;Transmembrane protein 185A	Tmem185b;Tmem185a	40	sp|Q8R3R5|T185B_MOUSE Transmembrane protein 185B OS=Mus musculus OX=10090 GN=Tmem185b PE=2 SV=1;sp|A2AF53|T185A_MOUSE Transmembrane protein 185A OS=Mus musculus OX=10090 GN=Tmem185a PE=1 SV=1
37964	54978	48873	46595	91021	44390	63538	90293	39978	100030	105500	33123	61029	69416	54502	56353	-1	19	19	19	26.6	26.6	26.6	90.11	0	251.7	131030000	7	A2AG58;A2AG58-2	A2AG58;A2AG58-2	Uncharacterized protein CXorf23 homolog		41	sp|A2AG58|BCLA3_MOUSE BCLAF1 and THRAP3 family member 3 OS=Mus musculus OX=10090 GN=Bclaf3 PE=1 SV=1;sp|A2AG58-2|BCLA3_MOUSE Isoform 2 of BCLAF1 and THRAP3 family member 3 OS=Mus musculus OX=10090 GN=Bclaf3
387170	290730	440490	377150	565230	335370	468230	603820	321360	605490	626290	463660	446150	451580	273270	473550	-1	22	22	22	14.6	14.6	14.6	242.3	0	140.11	658400000	20	A2AGH6-2;A2AGH6;A2AGH6-3;Q8BQM9;Q8BQM9-2	A2AGH6-2;A2AGH6	Mediator of RNA polymerase II transcription subunit 12	Med12	42	sp|A2AGH6-2|MED12_MOUSE Isoform 2 of Mediator of RNA polymerase II transcription subunit 12 OS=Mus musculus OX=10090 GN=Med12;sp|A2AGH6|MED12_MOUSE Mediator of RNA polymerase II transcription subunit 12 OS=Mus musculus OX=10090 GN=Med12 PE=1 SV=1
1903400	884080	1139000	1239900	1989400	800220	1488100	2289300	1032900	1526500	1699000	2177200	1150800	1533800	824590	1403000	-1	41	41	41	22.9	22.9	22.9	218.7	0	323.31	5579100000	52	A2AGT5-2;A2AGT5-3;A2AGT5	A2AGT5-2;A2AGT5-3;A2AGT5	Cytoskeleton-associated protein 5	Ckap5	43	sp|A2AGT5-2|CKAP5_MOUSE Isoform 2 of Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5;sp|A2AGT5-3|CKAP5_MOUSE Isoform 3 of Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5;sp|A2AGT5|CKAP5_MOUSE Cytoskeleton-associated
111000	47556	109550	61991	86193	57045	103880	92389	61721	78824	87270	100520	73042	73055	44042	93293	-1	8	8	8	10.8	10.8	10.8	129.87	0	35.808	281190000	9	A2AH22-7;A2AH22-2;A2AH22;A2AH22-6;A2AH22-5;A2AH22-4;A2AH22-3	A2AH22-7;A2AH22-2;A2AH22;A2AH22-6;A2AH22-5;A2AH22-4;A2AH22-3	Activating molecule in BECN1-regulated autophagy protein 1	Ambra1	44	sp|A2AH22-7|AMRA1_MOUSE Isoform 7 of Activating molecule in BECN1-regulated autophagy protein 1 OS=Mus musculus OX=10090 GN=Ambra1;sp|A2AH22-2|AMRA1_MOUSE Isoform 2 of Activating molecule in BECN1-regulated autophagy protein 1 OS=Mus musculus OX=10090 GN=A
172780	130950	131850	149090	121980	120030	144940	135310	107480	149050	168750	253220	130910	150080	104230	160280	-1	19	19	19	13.8	13.8	13.8	175.89	0	323.31	399720000	10	A2AHC3;A2AHC3-2	A2AHC3;A2AHC3-2	Calmodulin-regulated spectrin-associated protein 1	Camsap1	45	sp|A2AHC3|CAMP1_MOUSE Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1 PE=1 SV=1;sp|A2AHC3-2|CAMP1_MOUSE Isoform 2 of Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	3	1	1	2.6	1.5	1.5	202.94	0	85.915	0	0	A2AHJ4	A2AHJ4	Bromodomain and WD repeat-containing protein 3	Brwd3	47	sp|A2AHJ4|BRWD3_MOUSE Bromodomain and WD repeat-containing protein 3 OS=Mus musculus OX=10090 GN=Brwd3 PE=1 SV=1
19053	8970.400390625	13075	13844	10170	9947.099609375	11809	9666.5	15408	12965	13368	17409	14703	8717.099609375	8902.2998046875	11431	-1	1	1	1	2.4	2.4	2.4	51.868	0.00074166	2.1417	21587000	1	A2AI05-3;A2AI05-2;A2AI05	A2AI05-3;A2AI05-2;A2AI05	NADPH-dependent diflavin oxidoreductase 1	Ndor1	48	sp|A2AI05-3|NDOR1_MOUSE Isoform 3 of NADPH-dependent diflavin oxidoreductase 1 OS=Mus musculus OX=10090 GN=Ndor1;sp|A2AI05-2|NDOR1_MOUSE Isoform 2 of NADPH-dependent diflavin oxidoreductase 1 OS=Mus musculus OX=10090 GN=Ndor1;sp|A2AI05|NDOR1_MOUSE NADPH-de
162050	174590	181670	138890	570190	109730	236910	677360	136230	364510	488770	186460	185060	242300	165930	210430	-1	12	12	12	28.3	28.3	28.3	80.088	0	297.06	401800000	7	A2AI08	A2AI08	Taperin	Tprn	49	sp|A2AI08|TPRN_MOUSE Taperin OS=Mus musculus OX=10090 GN=Tprn PE=1 SV=1
27676	39952	36000	31569	31271	35001	39254	38928	30546	45796	47897	34967	39855	39627	40942	41724	-1	2	2	2	7.5	7.5	7.5	38.362	0	2.7172	115300000	2	A2AIL4	A2AIL4	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	Ndufaf6	50	sp|A2AIL4|NDUF6_MOUSE NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 OS=Mus musculus OX=10090 GN=Ndufaf6 PE=1 SV=1
183920	140190	228110	156220	266960	141320	271330	315680	142820	302870	337270	199380	218700	234420	140850	232770	-1	17	17	17	11.9	11.9	11.9	201.44	0	177.42	460280000	10	A2AIV2;A2AIV2-2	A2AIV2	Protein virilizer homolog	Kiaa1429	51	sp|A2AIV2|VIR_MOUSE Protein virilizer homolog OS=Mus musculus OX=10090 GN=Virma PE=1 SV=1
10910	10890	8067.2998046875	9551.099609375	7075.10009765625	5717	10783	5387.7998046875	9792.5	6645	7344	12115	10605	10419	7834.7001953125	7820.7001953125	-1	4	4	4	17.4	17.4	17.4	41.478	0	281.79	45600000	3	A2AIW0-4;A2AIW0-2;A2AIW0;A2AIW0-5;A2AIW0-3;A2AIW0-6	A2AIW0-4;A2AIW0-2;A2AIW0;A2AIW0-5;A2AIW0-3;A2AIW0-6	Serologically defined colon cancer antigen 3 homolog	Sdccag3	52	sp|A2AIW0-4|ENTR1_MOUSE Isoform 4 of Endosome-associated-trafficking regulator 1 OS=Mus musculus OX=10090 GN=Entr1;sp|A2AIW0-2|ENTR1_MOUSE Isoform 2 of Endosome-associated-trafficking regulator 1 OS=Mus musculus OX=10090 GN=Entr1;sp|A2AIW0|ENTR1_MOUSE Endo
707860	305490	684750	573830	803620	412790	639820	860770	599190	680340	723130	810150	742000	582870	320280	759190	-1	14	14	14	18.2	18.2	18.2	75.149	0	77.102	920760000	11	A2AJ15	A2AJ15	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	Man1b1	53	sp|A2AJ15|MA1B1_MOUSE Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Mus musculus OX=10090 GN=Man1b1 PE=1 SV=1
14825	15137	19348	19258	31249	15035	17695	31771	17916	33077	37976	18441	25866	16799	14223	19264	-1	5	5	5	4.8	4.8	4.8	150.49	0	23.939	101180000	4	A2AJ88;A2AJ88-2;A2AJ88-3	A2AJ88;A2AJ88-2;A2AJ88-3	Patatin-like phospholipase domain-containing protein 7	Pnpla7	54	sp|A2AJ88|PLPL7_MOUSE Patatin-like phospholipase domain-containing protein 7 OS=Mus musculus OX=10090 GN=Pnpla7 PE=1 SV=1;sp|A2AJ88-2|PLPL7_MOUSE Isoform 2 of Patatin-like phospholipase domain-containing protein 7 OS=Mus musculus OX=10090 GN=Pnpla7;sp|A2AJ
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	3	3	3	4.5	4.5	4.5	103.58	0	3.0997	0	0	A2AJA9-2;A2AJA9	A2AJA9-2;A2AJA9	Uncharacterized protein C9orf172 homolog	Gm996	55	sp|A2AJA9-2|AJM1_MOUSE Isoform 2 of Apical junction component 1 homolog OS=Mus musculus OX=10090 GN=Ajm1;sp|A2AJA9|AJM1_MOUSE Apical junction component 1 homolog OS=Mus musculus OX=10090 GN=Ajm1 PE=1 SV=1
677140	453660	604690	749420	660070	536740	478030	914110	437390	801060	821460	943510	577840	591930	341790	775300	-1	33	33	33	36.2	36.2	36.2	93.275	0	323.31	1389800000	22	A2AJI0;A2AJI0-2	A2AJI0;A2AJI0-2	MAP7 domain-containing protein 1	Map7d1	56	sp|A2AJI0|MA7D1_MOUSE MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1 PE=1 SV=1;sp|A2AJI0-2|MA7D1_MOUSE Isoform 2 of MAP7 domain-containing protein 1 OS=Mus musculus OX=10090 GN=Map7d1
2050	3732.80004882813	4545.60009765625	2832.10009765625	3827	6477.2998046875	1665.80004882813	4007.80004882813	2330.89990234375	4174.7001953125	5113.7998046875	1935.19995117188	7455.2998046875	2523.5	3107.89990234375	5387.39990234375	-1	1	1	1	3.6	3.6	3.6	42.284	0.0066556	1.3229	14420000	1	A2AJL3-2;A2AJL3	A2AJL3-2;A2AJL3	FGGY carbohydrate kinase domain-containing protein	Fggy	57	sp|A2AJL3-2|FGGY_MOUSE Isoform 2 of FGGY carbohydrate kinase domain-containing protein OS=Mus musculus OX=10090 GN=Fggy;sp|A2AJL3|FGGY_MOUSE FGGY carbohydrate kinase domain-containing protein OS=Mus musculus OX=10090 GN=Fggy PE=1 SV=1
