Pooled_1	U1_V3_1	U1_V3_2	U1_V9_1	U1_V9_2	U1_V15_1	U1_V15_2	U1_V21_1	U1_V21_2	U1_I3_1	U1_I3_2	U1_I9_1	U1_I9_2	U1_I15_1	U1_I15_2	U1_I21_1	U1_I21_2	Pooled_2	U2_V3_1	U2_V3_2	U2_V9_1	U2_V9_2	U2_V15_1	U2_V15_2	U2_V21_1	U2_V21_2	U2_I3_1	U2_I3_2	U2_I9_1	U2_I9_2	U2_I15_1	U2_I15_2	U2_I21_1	U2_I21_2	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Fasta headers
93111	151070	85759	159310	116240	135590	72625	93363	100760	124450	86970	118540	128890	118350	129310	75120	103390	97399	83741	93339	77897	103110	129650	89105	111490	90197	66795	95301	82448	92458	91354	91594	104160	92441	1	1	1	1.9	1.9	1.9	91.841	0.00013818	3.1272	2	A2A6Q5;A2A6Q5-2;A2A6Q5-3	A2A6Q5;A2A6Q5-2;A2A6Q5-3	Cell division cycle protein 27 homolog	Cdc27	15	sp|A2A6Q5|CDC27_MOUSE Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27 PE=1 SV=1;sp|A2A6Q5-2|CDC27_MOUSE Isoform 2 of Cell division cycle protein 27 homolog OS=Mus musculus OX=10090 GN=Cdc27;sp|A2A6Q5-3|CDC27_MOUSE Isoform 3 of Cell
18951	18734	9788.900390625	20981	24936	18709	8221.099609375	9404.400390625	10442	20518	17394	13668	22360	16660	16229	13569	17622	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	4	4	14.2	14.2	14.2	53.212	0	127.99	1	A2A6T1	A2A6T1	Cerebellar degeneration-related protein 2-like	Cdr2l	16	sp|A2A6T1|CDR2L_MOUSE Cerebellar degeneration-related protein 2-like OS=Mus musculus OX=10090 GN=Cdr2l PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	201970	237980	217460	211390	274320	303170	277770	267230	204480	165700	237780	208740	285860	257440	253110	210580	300580	2	2	2	1.8	1.8	1.8	172.44	0	154.38	1	A2A791;A2A791-2	A2A791;A2A791-2	Zinc finger MYM-type protein 4	Zmym4	17	sp|A2A791|ZMYM4_MOUSE Zinc finger MYM-type protein 4 OS=Mus musculus OX=10090 GN=Zmym4 PE=1 SV=1;sp|A2A791-2|ZMYM4_MOUSE Isoform 2 of Zinc finger MYM-type protein 4 OS=Mus musculus OX=10090 GN=Zmym4
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22	22	22	31.1	31.1	31.1	110.65	0	323.31	0	A2A7S8-2;A2A7S8;A2A7S8-4;A2A7S8-3	A2A7S8-2;A2A7S8;A2A7S8-4;A2A7S8-3	Uncharacterized protein KIAA1522	Kiaa1522	18	sp|A2A7S8-2|K1522_MOUSE Isoform 2 of Uncharacterized protein KIAA1522 OS=Mus musculus OX=10090 GN=Kiaa1522;sp|A2A7S8|K1522_MOUSE Uncharacterized protein KIAA1522 OS=Mus musculus OX=10090 GN=Kiaa1522 PE=1 SV=1;sp|A2A7S8-4|K1522_MOUSE Isoform 4 of Uncharacte
1347800	1716900	1150200	1789900	1604800	1818300	1095900	1267800	1213600	1957400	1423900	1348700	1922800	1601200	1760800	1313800	1564900	1114900	1257300	1242200	1275400	1250000	1868900	1399100	1335200	1075900	844470	1220700	1236500	1436500	1375000	1354300	847840	1419000	34	34	29	28.1	28.1	24.9	211.49	0	323.31	94	A2A8L5	A2A8L5	Receptor-type tyrosine-protein phosphatase F	Ptprf	19	sp|A2A8L5|PTPRF_MOUSE Receptor-type tyrosine-protein phosphatase F OS=Mus musculus OX=10090 GN=Ptprf PE=1 SV=1
30550	27827	14824	19305	29068	37586	16825	14925	20355	44760	18737	35155	39804	34022	62675	29240	43051	131000	86481	121340	101920	118390	168800	101020	111120	87583	84253	121190	148360	134420	134490	106330	112810	92643	7	7	7	16.3	16.3	16.3	72.499	0	105.52	6	A2A8U2;A2A8U2-3;A2A8U2-2	A2A8U2;A2A8U2-3;A2A8U2-2	Transmembrane protein 201	Tmem201	20	sp|A2A8U2|TM201_MOUSE Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201 PE=1 SV=1;sp|A2A8U2-3|TM201_MOUSE Isoform 3 of Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201;sp|A2A8U2-2|TM201_MOUSE Isoform 2 of Transmembrane protein 201
410770	513090	361460	508910	434100	518290	289080	337190	383500	508390	330870	410780	578700	465780	585150	353970	467950	153480	202350	152250	190320	188340	244930	231390	209230	163300	143060	187500	201370	186070	224120	207630	146900	214150	7	7	7	12.9	12.9	12.9	83.108	0	47.605	20	A2A8Z1;A2A8Z1-2	A2A8Z1;A2A8Z1-2	Oxysterol-binding protein-related protein 9	Osbpl9	21	sp|A2A8Z1|OSBL9_MOUSE Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9 PE=1 SV=1;sp|A2A8Z1-2|OSBL9_MOUSE Isoform 2 of Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9
480650	506010	445640	682850	651650	598200	365130	443290	460840	540580	404430	472200	669750	556080	436040	379380	564600	565890	527060	627240	507510	450490	601670	501130	598200	642640	527900	749490	758930	527380	672480	579000	415250	793970	23	5	5	46.5	13.2	13.2	58.309	0	309.58	11	A2A974	A2A974		Cyp4a12b	22	sp|A2A974|CP4CB_MOUSE Cytochrome P450 4A12B OS=Mus musculus OX=10090 GN=Cyp4a12b PE=1 SV=1
18087	27251	18517	22363	18978	20756	9924.2001953125	16101	18395	25655	11607	23311	23404	19359	27095	12962	20774	16440	26299	28159	25138	18811	29438	21550	25261	25776	15507	25294	23597	23480	20004	27620	14263	23765	3	3	3	4.9	4.9	4.9	82.295	0	97.811	4	A2A995	A2A995	Uncharacterized protein C1orf168 homolog		23	sp|A2A995|FYB2_MOUSE FYN-binding protein 2 OS=Mus musculus OX=10090 GN=Fyb2 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7	7	7	3.6	3.6	3.6	377.62	0	323.31	2	A2A9C3;A2A9C3-2	A2A9C3;A2A9C3-2	Protein SZT2	Szt2	24	sp|A2A9C3|SZT2_MOUSE KICSTOR complex protein SZT2 OS=Mus musculus OX=10090 GN=Szt2 PE=1 SV=1;sp|A2A9C3-2|SZT2_MOUSE Isoform 2 of KICSTOR complex protein SZT2 OS=Mus musculus OX=10090 GN=Szt2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	3.3	3.3	3.3	43.496	0.00013761	3.0187	0	A2A9F4	A2A9F4	Keratinocyte differentiation factor 1	Kdf1	25	sp|A2A9F4|KDF1_MOUSE Keratinocyte differentiation factor 1 OS=Mus musculus OX=10090 GN=Kdf1 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3	3	3	8	8	8	67.001	0	12.299	0	A2A9T0;A2A9T0-2	A2A9T0;A2A9T0-2	TANK-binding kinase 1-binding protein 1	Tbkbp1	26	sp|A2A9T0|TBKB1_MOUSE TANK-binding kinase 1-binding protein 1 OS=Mus musculus OX=10090 GN=Tbkbp1 PE=1 SV=1;sp|A2A9T0-2|TBKB1_MOUSE Isoform 2 of TANK-binding kinase 1-binding protein 1 OS=Mus musculus OX=10090 GN=Tbkbp1
62569	38993	27692	53346	48016	55219	27781	30421	35328	66456	68276	52379	72874	48314	70302	34118	64036	30074	30311	21761	25790	35031	54403	29859	28848	17819	15706	28403	30124	26332	29322	35495	18284	37344	13	13	13	3.7	3.7	3.7	561.33	0	323.31	4	A2AAE1-3;A2AAE1;A2AAE1-4;A2AAE1-6;A2AAE1-2	A2AAE1-3;A2AAE1;A2AAE1-4;A2AAE1-6;A2AAE1-2	Uncharacterized protein KIAA1109	Kiaa1109	27	sp|A2AAE1-3|K1109_MOUSE Isoform 3 of Transmembrane protein KIAA1109 OS=Mus musculus OX=10090 GN=Kiaa1109;sp|A2AAE1|K1109_MOUSE Transmembrane protein KIAA1109 OS=Mus musculus OX=10090 GN=Kiaa1109 PE=1 SV=4;sp|A2AAE1-4|K1109_MOUSE Isoform 4 of Transmembrane
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17823	NaN	11564	NaN	12243	NaN	12088	NaN	NaN	NaN	10351	NaN	12449	9340.900390625	15590	3	3	3	0.7	0.7	0.7	966.58	0	59.033	1	A2AAJ9	A2AAJ9	Obscurin	Obscn	28	sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5	5	5	10.1	10.1	10.1	97.047	0	190.33	0	A2AB59;A2AB59-2	A2AB59	Rho GTPase-activating protein 27	Arhgap27	29	sp|A2AB59|RHG27_MOUSE Rho GTPase-activating protein 27 OS=Mus musculus OX=10090 GN=Arhgap27 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	49909	70110	56704	56272	76558	89505	74099	65017	46671	48117	57967	60766	65111	66527	78477	50329	64296	5	5	5	6.5	6.5	6.5	160.96	0	34.24	3	A2ABV5;A2ABV5-2	A2ABV5	Mediator of RNA polymerase II transcription subunit 14	Med14	30	sp|A2ABV5|MED14_MOUSE Mediator of RNA polymerase II transcription subunit 14 OS=Mus musculus OX=10090 GN=Med14 PE=1 SV=1
31877	42446	53928	27463	36069	51689	NaN	46379	54641	45884	22603	29428	51274	61139	45268	38616	47062	212250	270650	245930	203100	260010	339860	282310	246760	196400	229020	301590	240290	290910	261910	304920	229360	253530	4	4	4	19.2	19.2	19.2	31.992	0	10.521	6	A2ADA5;A2ADA5-2;A2ADA5-3	A2ADA5;A2ADA5-2	tRNA pseudouridine synthase-like 1	Pusl1	31	sp|A2ADA5|PUSL1_MOUSE tRNA pseudouridine synthase-like 1 OS=Mus musculus OX=10090 GN=Pusl1 PE=1 SV=1;sp|A2ADA5-2|PUSL1_MOUSE Isoform 2 of tRNA pseudouridine synthase-like 1 OS=Mus musculus OX=10090 GN=Pusl1
1926700	2151000	1514600	2868300	2333200	2410100	1670400	1898300	1802800	2682300	2029600	1926900	2695100	2277300	2281600	1986800	2382800	1740800	1841500	1790500	1916600	1815400	2661300	2140900	2308800	1634500	1413600	1900700	2118900	2153300	1966500	2339100	1760700	2374500	12	12	12	48.6	48.6	48.6	44.59	0	323.31	72	A2ADY9;Q9DAF3	A2ADY9	Protein DDI1 homolog 2	Ddi2	32	sp|A2ADY9|DDI2_MOUSE Protein DDI1 homolog 2 OS=Mus musculus OX=10090 GN=Ddi2 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	26694	24854	21220	33984	48928	33154	16497	22056	17098	16299	23249	14536	23584	22193	29954	26927	20689	4	4	4	2.5	2.5	2.5	237.77	0	103.63	2	A2AF47	A2AF47	Dedicator of cytokinesis protein 11	Dock11	34	sp|A2AF47|DOC11_MOUSE Dedicator of cytokinesis protein 11 OS=Mus musculus OX=10090 GN=Dock11 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	3.6	3.6	3.6	90.11	0	32.856	0	A2AG58;A2AG58-2	A2AG58;A2AG58-2	Uncharacterized protein CXorf23 homolog		35	sp|A2AG58|BCLA3_MOUSE BCLAF1 and THRAP3 family member 3 OS=Mus musculus OX=10090 GN=Bclaf3 PE=1 SV=1;sp|A2AG58-2|BCLA3_MOUSE Isoform 2 of BCLAF1 and THRAP3 family member 3 OS=Mus musculus OX=10090 GN=Bclaf3
38596	38676	31195	45477	43029	37926	25615	29484	32121	52318	26112	39870	54005	38164	41823	37596	52399	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7	7	6	5.7	5.7	4.9	244.56	0	238.24	3	A2AGH6;A2AGH6-2;A2AGH6-3	A2AGH6;A2AGH6-2	Mediator of RNA polymerase II transcription subunit 12	Med12	36	sp|A2AGH6|MED12_MOUSE Mediator of RNA polymerase II transcription subunit 12 OS=Mus musculus OX=10090 GN=Med12 PE=1 SV=1;sp|A2AGH6-2|MED12_MOUSE Isoform 2 of Mediator of RNA polymerase II transcription subunit 12 OS=Mus musculus OX=10090 GN=Med12
2111800	2345000	1580000	2543100	2480900	2464600	1596000	1807100	1867900	2450800	1856700	1909600	2560100	2223300	2348200	1846500	2209800	1890700	2149500	2073600	2206000	2541400	2820500	2380300	2356800	1891200	1459300	2050700	2108200	2220100	2250900	2429000	1764800	2406300	29	29	28	17.7	17.7	17	225.63	0	323.31	71	A2AGT5;A2AGT5-2;A2AGT5-3	A2AGT5;A2AGT5-2;A2AGT5-3	Cytoskeleton-associated protein 5	Ckap5	37	sp|A2AGT5|CKAP5_MOUSE Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5 PE=1 SV=1;sp|A2AGT5-2|CKAP5_MOUSE Isoform 2 of Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5;sp|A2AGT5-3|CKAP5_MOUSE Isoform 3 of Cytoskeleton-a
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	2.5	2.5	2.5	142.88	0.00053807	2.4033	0	A2AH22;A2AH22-4;A2AH22-3;A2AH22-6	A2AH22;A2AH22-4;A2AH22-3;A2AH22-6	Activating molecule in BECN1-regulated autophagy protein 1	Ambra1	38	sp|A2AH22|AMRA1_MOUSE Activating molecule in BECN1-regulated autophagy protein 1 OS=Mus musculus OX=10090 GN=Ambra1 PE=1 SV=1;sp|A2AH22-4|AMRA1_MOUSE Isoform 4 of Activating molecule in BECN1-regulated autophagy protein 1 OS=Mus musculus OX=10090 GN=Ambra1
36039	31862	23869	42461	39833	36809	27954	42862	45018	45807	35469	34492	44663	46131	41654	40956	40062	96644	115400	105610	154590	122220	160880	136150	136720	111650	77861	120000	107550	121190	123530	133510	101360	134470	10	10	10	8.9	8.9	8.9	175.89	0	323.31	9	A2AHC3;A2AHC3-2	A2AHC3;A2AHC3-2	Calmodulin-regulated spectrin-associated protein 1	Camsap1	39	sp|A2AHC3|CAMP1_MOUSE Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1 PE=1 SV=1;sp|A2AHC3-2|CAMP1_MOUSE Isoform 2 of Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	46830	63840	38382	49180	59231	63499	64757	56988	35337	35191	52764	48667	50240	64639	70852	35382	52379	3	3	3	7.4	7.4	7.4	74.985	0	99.2	1	A2AHG0;A2AHG0-2;A2AHG0-3	A2AHG0;A2AHG0-2;A2AHG0-3	Leucine zipper putative tumor suppressor 3	Lzts3	40	sp|A2AHG0|LZTS3_MOUSE Leucine zipper putative tumor suppressor 3 OS=Mus musculus OX=10090 GN=Lzts3 PE=1 SV=1;sp|A2AHG0-2|LZTS3_MOUSE Isoform 2 of Leucine zipper putative tumor suppressor 3 OS=Mus musculus OX=10090 GN=Lzts3;sp|A2AHG0-3|LZTS3_MOUSE Isoform 3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	1.4	1.4	1.4	202.94	0	323.31	0	A2AHJ4	A2AHJ4	Bromodomain and WD repeat-containing protein 3	Brwd3	41	sp|A2AHJ4|BRWD3_MOUSE Bromodomain and WD repeat-containing protein 3 OS=Mus musculus OX=10090 GN=Brwd3 PE=1 SV=1
26916	27298	13635	32385	33840	29361	25294	21408	24733	23839	19104	25651	29592	32651	21910	19659	22742	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1	1	1	2.3	2.3	2.3	67.182	0.00053937	2.4439	1	A2AI05;A2AI05-2	A2AI05;A2AI05-2	NADPH-dependent diflavin oxidoreductase 1	Ndor1	42	sp|A2AI05|NDOR1_MOUSE NADPH-dependent diflavin oxidoreductase 1 OS=Mus musculus OX=10090 GN=Ndor1 PE=2 SV=1;sp|A2AI05-2|NDOR1_MOUSE Isoform 2 of NADPH-dependent diflavin oxidoreductase 1 OS=Mus musculus OX=10090 GN=Ndor1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18372	35057	31422	23122	39648	49792	31474	33890	23536	26592	33816	33454	39685	30886	36048	21982	38723	3	3	3	9.7	9.7	9.7	80.088	0	289.07	1	A2AI08	A2AI08	Taperin	Tprn	43	sp|A2AI08|TPRN_MOUSE Taperin OS=Mus musculus OX=10090 GN=Tprn PE=1 SV=1
