VP1	VP2	V1	V9	V13	V10	V3	V5	V4	V12	V11	V2	V6	V14	V7	V15	V8	V16	Taxonomy IDs	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Fasta headers
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	5	5	5	13.3	13.3	13.3	53.212	0	178.22	0	A2A6T1	A2A6T1	Cerebellar degeneration-related protein 2-like	Cdr2l	10	sp|A2A6T1|CDR2L_MOUSE Cerebellar degeneration-related protein 2-like OS=Mus musculus OX=10090 GN=Cdr2l PE=1 SV=1
7429.2001953125	5509.10009765625	6167.7001953125	8453.2001953125	6161.5	9355.599609375	7854.2001953125	7098.39990234375	9871.7998046875	8689.7998046875	8867.2998046875	9819.900390625	5714	8783.2998046875	9296.5	9870	9594.5	7664.10009765625	-1	5	5	5	4.7	4.7	4.7	162.84	0	323.31	3	A2A791-2;A2A791	A2A791-2;A2A791	Zinc finger MYM-type protein 4	Zmym4	11	sp|A2A791-2|ZMYM4_MOUSE Isoform 2 of Zinc finger MYM-type protein 4 OS=Mus musculus OX=10090 GN=Zmym4;sp|A2A791|ZMYM4_MOUSE Zinc finger MYM-type protein 4 OS=Mus musculus OX=10090 GN=Zmym4 PE=1 SV=1
10534	7120.39990234375	16811	18366	14883	8451.900390625	16781	14990	15791	13933	14860	16636	16425	15359	9687.099609375	8932.599609375	13954	11475	-1	5	5	5	6.4	6.4	6.4	92.488	0	34.736	2	A2A7S8-3;A2A7S8;A2A7S8-4;A2A7S8-2	A2A7S8-3;A2A7S8;A2A7S8-4;A2A7S8-2	Uncharacterized protein KIAA1522	Kiaa1522	12	sp|A2A7S8-3|K1522_MOUSE Isoform 3 of Uncharacterized protein KIAA1522 OS=Mus musculus OX=10090 GN=Kiaa1522;sp|A2A7S8|K1522_MOUSE Uncharacterized protein KIAA1522 OS=Mus musculus OX=10090 GN=Kiaa1522 PE=1 SV=1;sp|A2A7S8-4|K1522_MOUSE Isoform 4 of Uncharacte
1553.5	1248.40002441406	1368.40002441406	1483	1317.5	1020.29998779297	1443.5	1080.90002441406	1627.40002441406	1314.5	1302.30004882813	1706.69995117188	911.429992675781	1804	1296.5	2608.10009765625	1875	1444	-1	4	4	3	1.9	1.9	1.6	253.41	0	8.9718	1	A2A884	A2A884	Transcription factor HIVEP3	Hivep3	13	sp|A2A884|ZEP3_MOUSE Transcription factor HIVEP3 OS=Mus musculus OX=10090 GN=Hivep3 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	3	3	2	2.4	2.4	1.9	184.32	0	8.7069	1	A2A891;A2A891-5;A2A891-2;A2A891-3	A2A891;A2A891-5;A2A891-2	Calmodulin-binding transcription activator 1	Camta1	14	sp|A2A891|CMTA1_MOUSE Calmodulin-binding transcription activator 1 OS=Mus musculus OX=10090 GN=Camta1 PE=2 SV=1;sp|A2A891-5|CMTA1_MOUSE Isoform 5 of Calmodulin-binding transcription activator 1 OS=Mus musculus OX=10090 GN=Camta1;sp|A2A891-2|CMTA1_MOUSE Iso
67328	53864	83962	78199	70475	88249	83034	81334	99777	76814	83906	90040	77662	89062	85386	61030	98780	76526	-1	16	9	9	11.5	7.3	7.3	222.51	0	166.57	8	A2A8L1	A2A8L1	Chromodomain-helicase-DNA-binding protein 5	Chd5	15	sp|A2A8L1|CHD5_MOUSE Chromodomain-helicase-DNA-binding protein 5 OS=Mus musculus OX=10090 GN=Chd5 PE=1 SV=1
154220	111760	178400	175910	150610	227860	209760	154430	184550	177630	178600	213050	176100	178690	203190	154130	237690	198120	-1	27	20	20	21	16.8	16.8	211.49	0	109.64	26	A2A8L5	A2A8L5	Receptor-type tyrosine-protein phosphatase F	Ptprf	16	sp|A2A8L5|PTPRF_MOUSE Receptor-type tyrosine-protein phosphatase F OS=Mus musculus OX=10090 GN=Ptprf PE=1 SV=1
74227	45875	66550	74208	79825	79702	80137	64131	96067	93081	78714	89349	80361	88165	84150	145770	99135	75207	-1	5	5	5	9.5	9.5	9.5	72.499	0	26.91	5	A2A8U2;A2A8U2-3;A2A8U2-2	A2A8U2;A2A8U2-3;A2A8U2-2	Transmembrane protein 201	Tmem201	17	sp|A2A8U2|TM201_MOUSE Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201 PE=1 SV=1;sp|A2A8U2-3|TM201_MOUSE Isoform 3 of Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201;sp|A2A8U2-2|TM201_MOUSE Isoform 2 of Transmembrane protein 201
79166	52924	83922	92099	81554	86838	101850	83748	94112	89227	88312	104550	77440	87013	95688	100570	114360	97999	-1	9	9	9	14.4	14.4	14.4	83.108	0	18.723	10	A2A8Z1;A2A8Z1-2	A2A8Z1;A2A8Z1-2	Oxysterol-binding protein-related protein 9	Osbpl9	18	sp|A2A8Z1|OSBL9_MOUSE Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9 PE=1 SV=1;sp|A2A8Z1-2|OSBL9_MOUSE Isoform 2 of Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9
236.669998168945	NaN	NaN	287.769989013672	NaN	NaN	NaN	362.220001220703	375.320007324219	NaN	NaN	239.570007324219	244.059997558594	301.559997558594	NaN	547.299987792969	NaN	NaN	-1	4	4	4	2.2	2.2	2.2	377.52	0	202.38	2	A2A9C3-2;A2A9C3	A2A9C3-2;A2A9C3	Protein SZT2	Szt2	19	sp|A2A9C3-2|SZT2_MOUSE Isoform 2 of KICSTOR complex protein SZT2 OS=Mus musculus OX=10090 GN=Szt2;sp|A2A9C3|SZT2_MOUSE KICSTOR complex protein SZT2 OS=Mus musculus OX=10090 GN=Szt2 PE=1 SV=1
1382.90002441406	939.049987792969	1822.5	2346.30004882813	1857.5	1960.90002441406	2897.5	3080.5	1867.90002441406	2193.10009765625	2009.59997558594	2300.89990234375	2346	2091.69995117188	3010.10009765625	3289.39990234375	2428.30004882813	2573.89990234375	-1	2	2	2	4.9	4.9	4.9	65.454	0.0001448	5.3352	2	A2A9T0-2;A2A9T0	A2A9T0-2;A2A9T0	TANK-binding kinase 1-binding protein 1	Tbkbp1	20	sp|A2A9T0-2|TBKB1_MOUSE Isoform 2 of TANK-binding kinase 1-binding protein 1 OS=Mus musculus OX=10090 GN=Tbkbp1;sp|A2A9T0|TBKB1_MOUSE TANK-binding kinase 1-binding protein 1 OS=Mus musculus OX=10090 GN=Tbkbp1 PE=1 SV=1
109750	71254	111280	122350	107670	118980	129280	108890	131370	113010	110050	132890	110400	117520	114620	128320	135960	114690	-1	25	25	25	6.4	6.4	6.4	555.36	0	323.31	21	A2AAE1;A2AAE1-2;A2AAE1-4;A2AAE1-6;A2AAE1-3;A2AAE1-5	A2AAE1;A2AAE1-2;A2AAE1-4;A2AAE1-6;A2AAE1-3	Uncharacterized protein KIAA1109	Kiaa1109	21	sp|A2AAE1|K1109_MOUSE Transmembrane protein KIAA1109 OS=Mus musculus OX=10090 GN=Kiaa1109 PE=1 SV=4;sp|A2AAE1-2|K1109_MOUSE Isoform 2 of Transmembrane protein KIAA1109 OS=Mus musculus OX=10090 GN=Kiaa1109;sp|A2AAE1-4|K1109_MOUSE Isoform 4 of Transmembrane
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	3	3	3	0.4	0.4	0.4	966.58	0.00081411	3.5562	0	A2AAJ9	A2AAJ9	Obscurin	Obscn	22	sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=3
3437.30004882813	1564.19995117188	3368.30004882813	3084.5	3302.69995117188	2921.39990234375	3062.39990234375	3334.69995117188	3977.89990234375	2517.39990234375	2784.10009765625	5023.39990234375	3128.5	3266.39990234375	3676.89990234375	2334.80004882813	3530.5	2437.80004882813	-1	1	1	1	4.2	4.2	4.2	27.521	0.0058213	2.2649	1	A2AAX3-3;A2AAX3-2;A2AAX3	A2AAX3-3;A2AAX3-2;A2AAX3		Klhl15	23	sp|A2AAX3-3|KLH15_MOUSE Isoform 3 of Kelch-like protein 15 OS=Mus musculus OX=10090 GN=Klhl15;sp|A2AAX3-2|KLH15_MOUSE Isoform 2 of Kelch-like protein 15 OS=Mus musculus OX=10090 GN=Klhl15;sp|A2AAX3|KLH15_MOUSE Kelch-like protein 15 OS=Mus musculus OX=10090
44427	32670	51608	53196	48778	59962	69914	50037	110870	60471	55058	63498	71927	56635	63142	62799	62458	50537	-1	2	2	2	2.8	2.8	2.8	101.52	0	9.0891	7	A2AAY5	A2AAY5	SH3 and PX domain-containing protein 2B	Sh3pxd2b	24	sp|A2AAY5|SPD2B_MOUSE SH3 and PX domain-containing protein 2B OS=Mus musculus OX=10090 GN=Sh3pxd2b PE=1 SV=1
292.070007324219	NaN	NaN	NaN	348.839996337891	306.790008544922	NaN	312	NaN	391.429992675781	237.630004882813	205.100006103516	272.920013427734	314.75	211.100006103516	259.970001220703	332.720001220703	NaN	-1	4	4	4	5.3	5.3	5.3	97.047	0	52.054	1	A2AB59;A2AB59-2	A2AB59;A2AB59-2	Rho GTPase-activating protein 27	Arhgap27	25	sp|A2AB59|RHG27_MOUSE Rho GTPase-activating protein 27 OS=Mus musculus OX=10090 GN=Arhgap27 PE=1 SV=1;sp|A2AB59-2|RHG27_MOUSE Isoform 2 of Rho GTPase-activating protein 27 OS=Mus musculus OX=10090 GN=Arhgap27
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	1.4	1.4	1.4	65.633	0	9.2516	0	A2ACP1-2;A2ACP1	A2ACP1-2;A2ACP1	Tetratricopeptide repeat protein 39A	Ttc39a	26	sp|A2ACP1-2|TT39A_MOUSE Isoform 2 of Tetratricopeptide repeat protein 39A OS=Mus musculus OX=10090 GN=Ttc39a;sp|A2ACP1|TT39A_MOUSE Tetratricopeptide repeat protein 39A OS=Mus musculus OX=10090 GN=Ttc39a PE=2 SV=1
148770	93764	166140	145570	149580	145580	169120	136650	187940	146130	144540	166510	160470	159180	157220	150660	176850	154400	-1	10	10	10	39.1	39.1	39.1	44.59	0	57.372	14	A2ADY9	A2ADY9	Protein DDI1 homolog 2	Ddi2	27	sp|A2ADY9|DDI2_MOUSE Protein DDI1 homolog 2 OS=Mus musculus OX=10090 GN=Ddi2 PE=1 SV=1
722.080017089844	420.649993896484	562.690002441406	617.359985351563	466.929992675781	763.919982910156	399.130004882813	648.359985351563	1251.19995117188	1006.79998779297	872.489990234375	638.559997558594	279.25	500.839996337891	1043.69995117188	1015.79998779297	717	461.510009765625	-1	1	1	1	2.9	2.9	2.9	67.407	0.0097531	1.892	1	A2AEV7	A2AEV7		Ccdc120	28	sp|A2AEV7|CC120_MOUSE Coiled-coil domain-containing protein 120 OS=Mus musculus OX=10090 GN=Ccdc120 PE=1 SV=1
15128	10808	11908	15195	12159	16210	17307	12388	19050	18721	14494	19871	11624	14845	19065	20186	20737	16109	-1	7	6	6	4.4	4	4	237.77	0	41.454	3	A2AF47	A2AF47	Dedicator of cytokinesis protein 11	Dock11	29	sp|A2AF47|DOC11_MOUSE Dedicator of cytokinesis protein 11 OS=Mus musculus OX=10090 GN=Dock11 PE=1 SV=1
39282	28312	38196	44246	42772	40740	45044	42571	45770	43859	45430	52269	38652	48643	39428	43770	45725	39453	-1	7	7	7	7.6	7.6	7.6	140.49	0	15.783	7	A2AFR3-2;A2AFR3-3;A2AFR3	A2AFR3-2;A2AFR3-3;A2AFR3	FERM and PDZ domain-containing protein 4	Frmpd4	30	sp|A2AFR3-2|FRPD4_MOUSE Isoform 2 of FERM and PDZ domain-containing protein 4 OS=Mus musculus OX=10090 GN=Frmpd4;sp|A2AFR3-3|FRPD4_MOUSE Isoform 3 of FERM and PDZ domain-containing protein 4 OS=Mus musculus OX=10090 GN=Frmpd4;sp|A2AFR3|FRPD4_MOUSE FERM and
10737	7195.89990234375	12029	12490	11494	12149	15130	10836	11980	10874	12824	13048	13078	11461	10774	7707.2001953125	13634	12262	-1	3	3	3	5.3	5.3	5.3	86.72	0	20.538	3	A2AFS3-3;A2AFS3-2;A2AFS3	A2AFS3-3;A2AFS3-2;A2AFS3	UPF0577 protein KIAA1324	Kiaa1324	31	sp|A2AFS3-3|ELAP1_MOUSE Isoform 3 of Endosome/lysosome-associated apoptosis and autophagy regulator 1 OS=Mus musculus OX=10090 GN=Elapor1;sp|A2AFS3-2|ELAP1_MOUSE Isoform 2 of Endosome/lysosome-associated apoptosis and autophagy regulator 1 OS=Mus musculus
205160	167140	181380	239880	220130	233310	235010	195170	219820	235780	195190	230500	215090	218390	245100	258660	252660	244940	-1	29	29	29	35.7	35.7	35.7	86.049	0	262.26	30	A2AG50;A2AG50-2;A2AG50-3	A2AG50;A2AG50-2;A2AG50-3	MAP7 domain-containing protein 2	Map7d2	32	sp|A2AG50|MA7D2_MOUSE MAP7 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Map7d2 PE=1 SV=1;sp|A2AG50-2|MA7D2_MOUSE Isoform 2 of MAP7 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Map7d2;sp|A2AG50-3|MA7D2_MOUSE Isoform 3 of MAP7 domain-co
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	3	3	3	5.6	5.6	5.6	80.608	0	34.033	0	A2AG58-2;A2AG58	A2AG58-2;A2AG58	Uncharacterized protein CXorf23 homolog		33	sp|A2AG58-2|BCLA3_MOUSE Isoform 2 of BCLAF1 and THRAP3 family member 3 OS=Mus musculus OX=10090 GN=Bclaf3;sp|A2AG58|BCLA3_MOUSE BCLAF1 and THRAP3 family member 3 OS=Mus musculus OX=10090 GN=Bclaf3 PE=1 SV=1
831.190002441406	665.77001953125	973.409973144531	1133.40002441406	1216.80004882813	921.690002441406	1140.59997558594	721.989990234375	1332.59997558594	1197.80004882813	1519	1741	1299.90002441406	1240.09997558594	1430.19995117188	1220.69995117188	1085	1607.80004882813	-1	2	2	1	2	2	1.2	244.56	0	13.272	1	A2AGH6;A2AGH6-2;A2AGH6-3	A2AGH6;A2AGH6-2;A2AGH6-3	Mediator of RNA polymerase II transcription subunit 12	Med12	34	sp|A2AGH6|MED12_MOUSE Mediator of RNA polymerase II transcription subunit 12 OS=Mus musculus OX=10090 GN=Med12 PE=1 SV=1;sp|A2AGH6-2|MED12_MOUSE Isoform 2 of Mediator of RNA polymerase II transcription subunit 12 OS=Mus musculus OX=10090 GN=Med12;sp|A2AGH6
48942	35582	46652	54783	48126	58920	65172	55205	60541	51757	41916	63604	48358	53431	58567	38086	67328	52950	-1	15	5	5	3.5	1.3	1.3	547.74	0	8.323	5	A2AGL3-2;A2AGL3	A2AGL3-2;A2AGL3	Ryanodine receptor 3	Ryr3	35	sp|A2AGL3-2|RYR3_MOUSE Isoform 2 of Ryanodine receptor 3 OS=Mus musculus OX=10090 GN=Ryr3;sp|A2AGL3|RYR3_MOUSE Ryanodine receptor 3 OS=Mus musculus OX=10090 GN=Ryr3 PE=1 SV=1
884870	608370	924940	906680	903340	1005500	1036300	905810	1041800	934530	889990	1052900	955730	997350	1022800	1051100	1103100	911910	-1	55	55	53	30.5	30.5	29.8	218.7	0	314.67	63	A2AGT5-2;A2AGT5-3;A2AGT5	A2AGT5-2;A2AGT5-3;A2AGT5	Cytoskeleton-associated protein 5	Ckap5	36	sp|A2AGT5-2|CKAP5_MOUSE Isoform 2 of Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5;sp|A2AGT5-3|CKAP5_MOUSE Isoform 3 of Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5;sp|A2AGT5|CKAP5_MOUSE Cytoskeleton-associated
399110	297140	469730	492030	434940	479470	548020	468560	496140	470820	453100	535270	470990	477060	472170	398020	563120	476060	-1	27	27	27	19.5	19.5	19.5	175.89	0	323.31	29	A2AHC3;A2AHC3-2	A2AHC3;A2AHC3-2	Calmodulin-regulated spectrin-associated protein 1	Camsap1	37	sp|A2AHC3|CAMP1_MOUSE Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1 PE=1 SV=1;sp|A2AHC3-2|CAMP1_MOUSE Isoform 2 of Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1
102960	64262	128270	125310	126310	113970	139540	112270	131580	109320	119310	148220	117920	118170	101230	69573	126030	103440	-1	14	14	14	29.7	29.7	29.7	74.985	0	60.582	16	A2AHG0;A2AHG0-2;A2AHG0-3	A2AHG0;A2AHG0-2;A2AHG0-3	Leucine zipper putative tumor suppressor 3	Lzts3	38	sp|A2AHG0|LZTS3_MOUSE Leucine zipper putative tumor suppressor 3 OS=Mus musculus OX=10090 GN=Lzts3 PE=1 SV=1;sp|A2AHG0-2|LZTS3_MOUSE Isoform 2 of Leucine zipper putative tumor suppressor 3 OS=Mus musculus OX=10090 GN=Lzts3;sp|A2AHG0-3|LZTS3_MOUSE Isoform 3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	2	2	2	1.9	1.9	1.9	202.94	0	6.6631	0	A2AHJ4	A2AHJ4	Bromodomain and WD repeat-containing protein 3	Brwd3	39	sp|A2AHJ4|BRWD3_MOUSE Bromodomain and WD repeat-containing protein 3 OS=Mus musculus OX=10090 GN=Brwd3 PE=1 SV=1
39937	27918	31290	46412	33370	35752	43831	37199	40682	47001	32611	52359	33165	39184	34822	29027	45954	40350	-1	4	4	4	6	6	6	73.821	0	10.958	5	A2AHL1-2;A2AHL1	A2AHL1-2;A2AHL1	Anoctamin-3	Ano3	40	sp|A2AHL1-2|ANO3_MOUSE Isoform 2 of Anoctamin-3 OS=Mus musculus OX=10090 GN=Ano3;sp|A2AHL1|ANO3_MOUSE Anoctamin-3 OS=Mus musculus OX=10090 GN=Ano3 PE=1 SV=1
3961.5	2801.5	4012.19995117188	3772.19995117188	4101	3607.60009765625	3398.89990234375	3735.19995117188	3898.60009765625	3813.39990234375	2848.39990234375	4942.2001953125	3615.89990234375	3143.30004882813	4020.60009765625	7625.7998046875	3949.39990234375	3602.69995117188	-1	3	3	3	7.9	7.9	7.9	80.088	0	47.819	1	A2AI08	A2AI08	Taperin	Tprn	41	sp|A2AI08|TPRN_MOUSE Taperin OS=Mus musculus OX=10090 GN=Tprn PE=1 SV=1
7144.2001953125	6293.2998046875	6194.2998046875	5629.89990234375	5400.39990234375	7156.5	8394.2001953125	6830.7998046875	6428.10009765625	6763.5	6715.60009765625	8674.599609375	7152.5	7379.10009765625	6948.2001953125	10246	8922.900390625	6544.60009765625	-1	1	1	1	2.3	2.3	2.3	54.492	0.00027782	4.0773	1	A2AIG8-2;A2AIG8	A2AIG8-2;A2AIG8	1-aminocyclopropane-1-carboxylate synthase-like protein 1	Accs	42	sp|A2AIG8-2|1A1L1_MOUSE Isoform 2 of 1-aminocyclopropane-1-carboxylate synthase-like protein 1 OS=Mus musculus OX=10090 GN=Accs;sp|A2AIG8|1A1L1_MOUSE 1-aminocyclopropane-1-carboxylate synthase-like protein 1 OS=Mus musculus OX=10090 GN=Accs PE=2 SV=1
20052	14295	20742	20313	18368	22549	25492	17400	21135	22005	22469	24612	25347	20294	20477	21216	26832	22778	-1	2	2	2	7.5	7.5	7.5	38.362	0.0015829	2.977	2	A2AIL4	A2AIL4	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6	Ndufaf6	43	sp|A2AIL4|NDUF6_MOUSE NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 OS=Mus musculus OX=10090 GN=Ndufaf6 PE=1 SV=1
4032.19995117188	3830.69995117188	4881	4643.2001953125	4977.2001953125	4173.5	6669.60009765625	3326.5	4657.89990234375	5115	5355.60009765625	4709.89990234375	3287.39990234375	4673.60009765625	4182.7001953125	6234.5	6124.10009765625	4477.2998046875	-1	6	6	5	5.6	5.6	4.7	201.44	0	148.12	2	A2AIV2;A2AIV2-2	A2AIV2;A2AIV2-2	Protein virilizer homolog	Kiaa1429	44	sp|A2AIV2|VIR_MOUSE Protein virilizer homolog OS=Mus musculus OX=10090 GN=Virma PE=1 SV=1;sp|A2AIV2-2|VIR_MOUSE Isoform 2 of Protein virilizer homolog OS=Mus musculus OX=10090 GN=Virma
17739	10120	15436	19318	16805	20770	19130	17749	18218	15599	15569	18750	17273	16044	17397	16017	19922	16558	-1	3	3	3	6.5	6.5	6.5	75.149	0	6.9967	3	A2AJ15	A2AJ15	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	Man1b1	45	sp|A2AJ15|MA1B1_MOUSE Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase OS=Mus musculus OX=10090 GN=Man1b1 PE=1 SV=1
1996.40002441406	1083.5	1547.40002441406	2088.60009765625	1967.19995117188	2061.19995117188	1785.80004882813	1086.40002441406	1603.80004882813	1603.5	1316.69995117188	2192.10009765625	1419.90002441406	1570.40002441406	2252.60009765625	1598.80004882813	2105.5	1472.80004882813	-1	2	2	2	2.8	2.8	2.8	150.49	0	245.21	1	A2AJ88;A2AJ88-2;A2AJ88-3	A2AJ88;A2AJ88-2;A2AJ88-3	Patatin-like phospholipase domain-containing protein 7	Pnpla7	46	sp|A2AJ88|PLPL7_MOUSE Patatin-like phospholipase domain-containing protein 7 OS=Mus musculus OX=10090 GN=Pnpla7 PE=1 SV=1;sp|A2AJ88-2|PLPL7_MOUSE Isoform 2 of Patatin-like phospholipase domain-containing protein 7 OS=Mus musculus OX=10090 GN=Pnpla7;sp|A2AJ
