Ink_P1	Ink_15	Ink_1	Ink_9	Ink_13	Ink_6	Ink_3	Ink_11	Ink_4	Ink_12	Ink_5	Ink_2	Ink_15	Ink_14	Ink_7	Ink_16	Ink_8	Ink_P2	Taxonomy IDs	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names	id	Fasta headers
15132	18162	19005	18195	22041	23034	37671	20992	22255	18493	13117	19108	23171	23222	20761	16559	17087	15586	-1	7	7	7	18.5	18.5	18.5	53.212	0	79.156	3	A2A6T1	A2A6T1	Cerebellar degeneration-related protein 2-like	Cdr2l	11	sp|A2A6T1|CDR2L_MOUSE Cerebellar degeneration-related protein 2-like OS=Mus musculus OX=10090 GN=Cdr2l PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	2	2	2	2.6	2.6	2.6	162.84	0	323.31	0	A2A791-2;A2A791	A2A791-2;A2A791	Zinc finger MYM-type protein 4	Zmym4	12	sp|A2A791-2|ZMYM4_MOUSE Isoform 2 of Zinc finger MYM-type protein 4 OS=Mus musculus OX=10090 GN=Zmym4;sp|A2A791|ZMYM4_MOUSE Zinc finger MYM-type protein 4 OS=Mus musculus OX=10090 GN=Zmym4 PE=1 SV=1
2096.60009765625	4347.2998046875	6061.10009765625	4209.60009765625	2411.5	3964.19995117188	2223.89990234375	4566.89990234375	5817.2998046875	2237.10009765625	4698.10009765625	4312.39990234375	3578.10009765625	4886.7001953125	5840.2001953125	5619	3255.30004882813	3969.60009765625	-1	3	3	3	5.3	5.3	5.3	92.488	0	13.751	1	A2A7S8-3;A2A7S8;A2A7S8-4;A2A7S8-2	A2A7S8-3;A2A7S8;A2A7S8-4;A2A7S8-2	Uncharacterized protein KIAA1522	Kiaa1522	13	sp|A2A7S8-3|K1522_MOUSE Isoform 3 of Uncharacterized protein KIAA1522 OS=Mus musculus OX=10090 GN=Kiaa1522;sp|A2A7S8|K1522_MOUSE Uncharacterized protein KIAA1522 OS=Mus musculus OX=10090 GN=Kiaa1522 PE=1 SV=1;sp|A2A7S8-4|K1522_MOUSE Isoform 4 of Uncharacte
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	2	2	2	1.2	1.2	1.2	253.41	0	7.0511	0	A2A884	A2A884	Transcription factor HIVEP3	Hivep3	15	sp|A2A884|ZEP3_MOUSE Transcription factor HIVEP3 OS=Mus musculus OX=10090 GN=Hivep3 PE=1 SV=1
10290	13655	11834	12188	13761	13598	16549	15884	13227	12736	11859	12271	11444	18070	14723	11187	11856	9624.2001953125	-1	3	3	3	2.5	2.5	2.5	182.05	0	5.4715	1	A2A891-5;A2A891-2;A2A891;A2A891-4;A2A891-3	A2A891-5;A2A891-2;A2A891	Calmodulin-binding transcription activator 1	Camta1	16	sp|A2A891-5|CMTA1_MOUSE Isoform 5 of Calmodulin-binding transcription activator 1 OS=Mus musculus OX=10090 GN=Camta1;sp|A2A891-2|CMTA1_MOUSE Isoform 2 of Calmodulin-binding transcription activator 1 OS=Mus musculus OX=10090 GN=Camta1;sp|A2A891|CMTA1_MOUSE
36366	43035	76777	55500	50551	68668	13557	40928	81411	37147	68314	56593	69364	48726	63436	12457	7833.2001953125	48594	-1	13	7	7	7.9	4.2	4.2	222.51	0	42.051	2	A2A8L1	A2A8L1	Chromodomain-helicase-DNA-binding protein 5	Chd5	17	sp|A2A8L1|CHD5_MOUSE Chromodomain-helicase-DNA-binding protein 5 OS=Mus musculus OX=10090 GN=Chd5 PE=1 SV=1
167110	221830	304510	269560	233660	334550	254230	233500	260430	261560	229750	262270	277560	260140	264750	230880	215380	205980	-1	31	21	21	25.5	19.3	19.3	211.49	0	136.52	28	A2A8L5	A2A8L5	Receptor-type tyrosine-protein phosphatase F	Ptprf	18	sp|A2A8L5|PTPRF_MOUSE Receptor-type tyrosine-protein phosphatase F OS=Mus musculus OX=10090 GN=Ptprf PE=1 SV=1
98730	120800	146800	126310	160320	130750	156950	119010	157940	121130	113510	131900	134820	145940	149730	120990	154050	96751	-1	4	4	4	11.2	11.2	11.2	43.548	0	57.465	5	A2A8U2-2;A2A8U2-3;A2A8U2	A2A8U2-2;A2A8U2-3;A2A8U2	Transmembrane protein 201	Tmem201	19	sp|A2A8U2-2|TM201_MOUSE Isoform 2 of Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201;sp|A2A8U2-3|TM201_MOUSE Isoform 3 of Transmembrane protein 201 OS=Mus musculus OX=10090 GN=Tmem201;sp|A2A8U2|TM201_MOUSE Transmembrane protein 201 OS=Mus mus
61083	62761	93460	77013	63524	84657	81652	69278	81296	67515	66383	66068	79493	77749	77015	74625	85469	60369	-1	6	5	5	10.2	9.1	9.1	71.527	0	8.3403	5	A2A8Z1-2;A2A8Z1	A2A8Z1-2;A2A8Z1	Oxysterol-binding protein-related protein 9	Osbpl9	20	sp|A2A8Z1-2|OSBL9_MOUSE Isoform 2 of Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9;sp|A2A8Z1|OSBL9_MOUSE Oxysterol-binding protein-related protein 9 OS=Mus musculus OX=10090 GN=Osbpl9 PE=1 SV=1
19559	23820	32932	30282	30454	35666	32551	28669	34088	29760	30390	30135	32477	30723	31246	27938	29052	23332	-1	7	7	7	3.3	3.3	3.3	377.62	0	46.645	5	A2A9C3;A2A9C3-2	A2A9C3;A2A9C3-2	Protein SZT2	Szt2	21	sp|A2A9C3|SZT2_MOUSE KICSTOR complex protein SZT2 OS=Mus musculus OX=10090 GN=Szt2 PE=1 SV=1;sp|A2A9C3-2|SZT2_MOUSE Isoform 2 of KICSTOR complex protein SZT2 OS=Mus musculus OX=10090 GN=Szt2
3433.80004882813	3328.69995117188	4270.60009765625	4522.5	5337.7001953125	6271.5	3250.39990234375	5188.7001953125	4676.39990234375	3543.19995117188	5095.2001953125	4395.2001953125	6401.7001953125	6532.60009765625	4605.89990234375	4120.5	2845.69995117188	4531.2998046875	-1	2	2	2	4.2	4.2	4.2	65.454	0.00027933	3.404	3	A2A9T0-2;A2A9T0	A2A9T0-2;A2A9T0	TANK-binding kinase 1-binding protein 1	Tbkbp1	22	sp|A2A9T0-2|TBKB1_MOUSE Isoform 2 of TANK-binding kinase 1-binding protein 1 OS=Mus musculus OX=10090 GN=Tbkbp1;sp|A2A9T0|TBKB1_MOUSE TANK-binding kinase 1-binding protein 1 OS=Mus musculus OX=10090 GN=Tbkbp1 PE=1 SV=1
80497	104190	161400	119280	110480	135690	97151	109480	149000	107930	133120	127250	116220	126870	135970	71641	64010	96112	-1	27	27	27	6.6	6.6	6.6	551.83	0	323.31	15	A2AAE1-6;A2AAE1;A2AAE1-2;A2AAE1-3;A2AAE1-4;A2AAE1-5	A2AAE1-6;A2AAE1;A2AAE1-2;A2AAE1-3;A2AAE1-4	Uncharacterized protein KIAA1109	Kiaa1109	23	sp|A2AAE1-6|K1109_MOUSE Isoform 6 of Transmembrane protein KIAA1109 OS=Mus musculus OX=10090 GN=Kiaa1109;sp|A2AAE1|K1109_MOUSE Transmembrane protein KIAA1109 OS=Mus musculus OX=10090 GN=Kiaa1109 PE=1 SV=4;sp|A2AAE1-2|K1109_MOUSE Isoform 2 of Transmembrane
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	3	3	3	0.3	0.3	0.3	966.58	0.0018538	2.3506	0	A2AAJ9	A2AAJ9	Obscurin	Obscn	24	sp|A2AAJ9|OBSCN_MOUSE Obscurin OS=Mus musculus OX=10090 GN=Obscn PE=1 SV=3
1444.90002441406	1948.5	3446.30004882813	2268.69995117188	3004.89990234375	1771.09997558594	1520	2272	3339.60009765625	2542.80004882813	3141	2464.60009765625	2959.10009765625	2067.80004882813	3026	1110.69995117188	490.790008544922	1007.09997558594	-1	1	1	1	4.2	4.2	4.2	27.521	0.0086651	1.3957	1	A2AAX3-3;A2AAX3-2;A2AAX3	A2AAX3-3;A2AAX3-2;A2AAX3		Klhl15	25	sp|A2AAX3-3|KLH15_MOUSE Isoform 3 of Kelch-like protein 15 OS=Mus musculus OX=10090 GN=Klhl15;sp|A2AAX3-2|KLH15_MOUSE Isoform 2 of Kelch-like protein 15 OS=Mus musculus OX=10090 GN=Klhl15;sp|A2AAX3|KLH15_MOUSE Kelch-like protein 15 OS=Mus musculus OX=10090
11504	17840	20110	15629	17707	20504	22108	16282	21085	16393	14097	20116	17143	18364	17746	13438	14593	14586	-1	4	3	3	4.8	3.7	3.7	101.52	0	6.6727	3	A2AAY5	A2AAY5	SH3 and PX domain-containing protein 2B	Sh3pxd2b	26	sp|A2AAY5|SPD2B_MOUSE SH3 and PX domain-containing protein 2B OS=Mus musculus OX=10090 GN=Sh3pxd2b PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	4	4	4	6.6	6.6	6.6	97.047	0	10.987	0	A2AB59;A2AB59-2	A2AB59	Rho GTPase-activating protein 27	Arhgap27	27	sp|A2AB59|RHG27_MOUSE Rho GTPase-activating protein 27 OS=Mus musculus OX=10090 GN=Arhgap27 PE=1 SV=1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	1.4	1.4	1.4	65.633	0	90.308	0	A2ACP1-2;A2ACP1	A2ACP1-2;A2ACP1	Tetratricopeptide repeat protein 39A	Ttc39a	28	sp|A2ACP1-2|TT39A_MOUSE Isoform 2 of Tetratricopeptide repeat protein 39A OS=Mus musculus OX=10090 GN=Ttc39a;sp|A2ACP1|TT39A_MOUSE Tetratricopeptide repeat protein 39A OS=Mus musculus OX=10090 GN=Ttc39a PE=2 SV=1
6514.2001953125	9486.099609375	9618.099609375	7320	9465.5	8710.900390625	9191.5	9040.2998046875	10191	7693.5	7372	9375.599609375	8761	9282	9632.7001953125	8201	8915.7001953125	6955.39990234375	-1	1	1	1	6.4	6.4	6.4	24.11	0	4.5816	2	A2ADA5-3;A2ADA5-2;A2ADA5	A2ADA5-3;A2ADA5-2;A2ADA5	tRNA pseudouridine synthase-like 1	Pusl1	29	sp|A2ADA5-3|PUSL1_MOUSE Isoform 3 of tRNA pseudouridine synthase-like 1 OS=Mus musculus OX=10090 GN=Pusl1;sp|A2ADA5-2|PUSL1_MOUSE Isoform 2 of tRNA pseudouridine synthase-like 1 OS=Mus musculus OX=10090 GN=Pusl1;sp|A2ADA5|PUSL1_MOUSE tRNA pseudouridine syn
178170	235130	315160	257390	245180	257770	300870	236300	291270	229650	260550	265940	280140	274620	288370	240660	273740	195900	-1	10	10	10	34.6	34.6	34.6	44.59	0	61.543	13	A2ADY9	A2ADY9	Protein DDI1 homolog 2	Ddi2	30	sp|A2ADY9|DDI2_MOUSE Protein DDI1 homolog 2 OS=Mus musculus OX=10090 GN=Ddi2 PE=1 SV=1
246610	324560	285170	306630	320640	330390	628040	357050	289230	318240	226310	251660	273850	335870	309930	284030	319980	203490	-1	11	9	9	6.4	5.9	5.9	237.77	0	88.114	5	A2AF47	A2AF47	Dedicator of cytokinesis protein 11	Dock11	31	sp|A2AF47|DOC11_MOUSE Dedicator of cytokinesis protein 11 OS=Mus musculus OX=10090 GN=Dock11 PE=1 SV=1
10499	15429	17823	14925	13997	17009	11751	15346	17262	13924	19405	15816	15649	13381	19432	12826	11337	13654	-1	6	6	6	7	7	7	140.49	0	8.1653	5	A2AFR3-2;A2AFR3-3;A2AFR3	A2AFR3-2;A2AFR3-3;A2AFR3	FERM and PDZ domain-containing protein 4	Frmpd4	33	sp|A2AFR3-2|FRPD4_MOUSE Isoform 2 of FERM and PDZ domain-containing protein 4 OS=Mus musculus OX=10090 GN=Frmpd4;sp|A2AFR3-3|FRPD4_MOUSE Isoform 3 of FERM and PDZ domain-containing protein 4 OS=Mus musculus OX=10090 GN=Frmpd4;sp|A2AFR3|FRPD4_MOUSE FERM and
11706	14702	20885	16489	14500	15806	15137	15390	18954	16098	17465	15051	15397	17156	16109	18302	17306	13021	-1	3	3	3	5.4	5.4	5.4	86.72	0	8.5688	4	A2AFS3-3;A2AFS3-2;A2AFS3	A2AFS3-3;A2AFS3-2;A2AFS3	UPF0577 protein KIAA1324	Kiaa1324	34	sp|A2AFS3-3|ELAP1_MOUSE Isoform 3 of Endosome/lysosome-associated apoptosis and autophagy regulator 1 OS=Mus musculus OX=10090 GN=Elapor1;sp|A2AFS3-2|ELAP1_MOUSE Isoform 2 of Endosome/lysosome-associated apoptosis and autophagy regulator 1 OS=Mus musculus
254880	333280	386610	336110	332780	449060	468810	370060	385030	333190	313510	371960	394360	401010	371700	278810	328740	284310	-1	23	23	23	35.9	35.9	35.9	86.049	0	323.31	28	A2AG50;A2AG50-2;A2AG50-3	A2AG50;A2AG50-2	MAP7 domain-containing protein 2	Map7d2	35	sp|A2AG50|MA7D2_MOUSE MAP7 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Map7d2 PE=1 SV=1;sp|A2AG50-2|MA7D2_MOUSE Isoform 2 of MAP7 domain-containing protein 2 OS=Mus musculus OX=10090 GN=Map7d2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	2	2	2	3.7	3.7	3.7	90.11	0	11.068	1	A2AG58;A2AG58-2	A2AG58;A2AG58-2	Uncharacterized protein CXorf23 homolog		36	sp|A2AG58|BCLA3_MOUSE BCLAF1 and THRAP3 family member 3 OS=Mus musculus OX=10090 GN=Bclaf3 PE=1 SV=1;sp|A2AG58-2|BCLA3_MOUSE Isoform 2 of BCLAF1 and THRAP3 family member 3 OS=Mus musculus OX=10090 GN=Bclaf3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	1.2	1.2	1.2	242.3	0.005972	1.6059	0	A2AGH6-2;A2AGH6	A2AGH6-2;A2AGH6	Mediator of RNA polymerase II transcription subunit 12	Med12	37	sp|A2AGH6-2|MED12_MOUSE Isoform 2 of Mediator of RNA polymerase II transcription subunit 12 OS=Mus musculus OX=10090 GN=Med12;sp|A2AGH6|MED12_MOUSE Mediator of RNA polymerase II transcription subunit 12 OS=Mus musculus OX=10090 GN=Med12 PE=1 SV=1
7468.7001953125	8331.400390625	16652	14838	10423	15069	5108	8074.5	12769	8225.900390625	14726	14634	14520	8872.599609375	11999	5091.7001953125	6487.89990234375	10575	-1	13	2	2	2.5	0.5	0.5	547.74	0	4.1755	2	A2AGL3-2;A2AGL3	A2AGL3-2;A2AGL3	Ryanodine receptor 3	Ryr3	38	sp|A2AGL3-2|RYR3_MOUSE Isoform 2 of Ryanodine receptor 3 OS=Mus musculus OX=10090 GN=Ryr3;sp|A2AGL3|RYR3_MOUSE Ryanodine receptor 3 OS=Mus musculus OX=10090 GN=Ryr3 PE=1 SV=1
1295800	1650900	2126000	1779300	1840500	2029400	1896300	1771600	2187200	1812000	1831300	1865400	2060400	1975700	2104200	1779400	1913000	1368700	-1	64	64	64	35.3	35.3	35.3	218.7	0	323.31	80	A2AGT5-2;A2AGT5-3;A2AGT5	A2AGT5-2;A2AGT5-3;A2AGT5	Cytoskeleton-associated protein 5	Ckap5	39	sp|A2AGT5-2|CKAP5_MOUSE Isoform 2 of Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5;sp|A2AGT5-3|CKAP5_MOUSE Isoform 3 of Cytoskeleton-associated protein 5 OS=Mus musculus OX=10090 GN=Ckap5;sp|A2AGT5|CKAP5_MOUSE Cytoskeleton-associated
4893.10009765625	6277.60009765625	7776.89990234375	6023.60009765625	4976.39990234375	6755.39990234375	6888.7001953125	6223.60009765625	6371.10009765625	5748.10009765625	6169.89990234375	4807.89990234375	6853.89990234375	7045.5	6483.10009765625	5508.39990234375	7101.2998046875	4846.60009765625	-1	2	2	2	2.2	2.2	2.2	129.87	0.0086575	1.3854	2	A2AH22-7;A2AH22-2;A2AH22-6;A2AH22;A2AH22-4;A2AH22-3;A2AH22-5	A2AH22-7;A2AH22-2;A2AH22-6;A2AH22;A2AH22-4;A2AH22-3;A2AH22-5	Activating molecule in BECN1-regulated autophagy protein 1	Ambra1	40	sp|A2AH22-7|AMRA1_MOUSE Isoform 7 of Activating molecule in BECN1-regulated autophagy protein 1 OS=Mus musculus OX=10090 GN=Ambra1;sp|A2AH22-2|AMRA1_MOUSE Isoform 2 of Activating molecule in BECN1-regulated autophagy protein 1 OS=Mus musculus OX=10090 GN=A
351340	448280	618950	494530	482420	576300	399320	433370	587520	457290	503890	517950	528110	500100	548450	382600	365940	365240	-1	29	29	29	25	25	25	175.89	0	323.31	26	A2AHC3;A2AHC3-2	A2AHC3;A2AHC3-2	Calmodulin-regulated spectrin-associated protein 1	Camsap1	41	sp|A2AHC3|CAMP1_MOUSE Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1 PE=1 SV=1;sp|A2AHC3-2|CAMP1_MOUSE Isoform 2 of Calmodulin-regulated spectrin-associated protein 1 OS=Mus musculus OX=10090 GN=Camsap1
66344	84539	121820	91152	77079	95270	68710	82985	111280	94179	113600	91725	95593	95240	125620	112360	115200	75689	-1	8	8	8	14.3	14.3	14.3	74.985	0	29.884	8	A2AHG0;A2AHG0-2;A2AHG0-3	A2AHG0;A2AHG0-2;A2AHG0-3	Leucine zipper putative tumor suppressor 3	Lzts3	42	sp|A2AHG0|LZTS3_MOUSE Leucine zipper putative tumor suppressor 3 OS=Mus musculus OX=10090 GN=Lzts3 PE=1 SV=1;sp|A2AHG0-2|LZTS3_MOUSE Isoform 2 of Leucine zipper putative tumor suppressor 3 OS=Mus musculus OX=10090 GN=Lzts3;sp|A2AHG0-3|LZTS3_MOUSE Isoform 3
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	1.4	1.4	1.4	202.94	0	10.963	0	A2AHJ4	A2AHJ4	Bromodomain and WD repeat-containing protein 3	Brwd3	43	sp|A2AHJ4|BRWD3_MOUSE Bromodomain and WD repeat-containing protein 3 OS=Mus musculus OX=10090 GN=Brwd3 PE=1 SV=1
11963	18748	21556	15551	15231	18941	15162	16473	21550	20823	20041	19760	17299	18356	18496	17875	16263	14090	-1	4	4	4	7.7	7.7	7.7	73.821	0	96.07	3	A2AHL1-2;A2AHL1	A2AHL1-2;A2AHL1	Anoctamin-3	Ano3	44	sp|A2AHL1-2|ANO3_MOUSE Isoform 2 of Anoctamin-3 OS=Mus musculus OX=10090 GN=Ano3;sp|A2AHL1|ANO3_MOUSE Anoctamin-3 OS=Mus musculus OX=10090 GN=Ano3 PE=1 SV=1
6691.60009765625	8903.400390625	11134	9680.7001953125	9062.7001953125	11012	8660.099609375	7826.2001953125	11658	10651	12321	9224.7001953125	12662	11206	12136	5016.89990234375	4044	6979.89990234375	-1	2	2	2	3.8	3.8	3.8	67.182	0	4.5869	2	A2AI05;A2AI05-2;A2AI05-3	A2AI05;A2AI05-2;A2AI05-3	NADPH-dependent diflavin oxidoreductase 1	Ndor1	45	sp|A2AI05|NDOR1_MOUSE NADPH-dependent diflavin oxidoreductase 1 OS=Mus musculus OX=10090 GN=Ndor1 PE=2 SV=1;sp|A2AI05-2|NDOR1_MOUSE Isoform 2 of NADPH-dependent diflavin oxidoreductase 1 OS=Mus musculus OX=10090 GN=Ndor1;sp|A2AI05-3|NDOR1_MOUSE Isoform 3 o
3053.5	2810.19995117188	2901.89990234375	3609.5	4502.10009765625	2463.69995117188	5091.2998046875	2703.19995117188	2908.69995117188	1869.09997558594	2757.89990234375	3556.5	3936.89990234375	3707	2822.5	3209.89990234375	995.580017089844	3244.10009765625	-1	3	3	3	8.9	8.9	8.9	80.088	0	184.31	2	A2AI08	A2AI08	Taperin	Tprn	46	sp|A2AI08|TPRN_MOUSE Taperin OS=Mus musculus OX=10090 GN=Tprn PE=1 SV=1
2647.89990234375	4427.39990234375	6382	4639.10009765625	3561.10009765625	5935.10009765625	3500.89990234375	4105.89990234375	5517.39990234375	4306.89990234375	4536.10009765625	4495.2001953125	5673	4403.2001953125	4115.10009765625	985.880004882813	867.27001953125	4362.39990234375	-1	2	2	2	7.7	7.7	7.7	54.492	0	5.0395	1	A2AIG8-2;A2AIG8	A2AIG8-2;A2AIG8	1-aminocyclopropane-1-carboxylate synthase-like protein 1	Accs	47	sp|A2AIG8-2|1A1L1_MOUSE Isoform 2 of 1-aminocyclopropane-1-carboxylate synthase-like protein 1 OS=Mus musculus OX=10090 GN=Accs;sp|A2AIG8|1A1L1_MOUSE 1-aminocyclopropane-1-carboxylate synthase-like protein 1 OS=Mus musculus OX=10090 GN=Accs PE=2 SV=1
1747.80004882813	1341.30004882813	2400.10009765625	1921.59997558594	3153.60009765625	2608.80004882813	2123.5	2264.69995117188	2018.09997558594	2153.5	1818.69995117188	2235.19995117188	2549.80004882813	2591.10009765625	3218.39990234375	2435.39990234375	2008.09997558594	1620.69995117188	-1	5	5	4	5.1	5.1	4.3	201.44	0	156.56	2	A2AIV2;A2AIV2-2	A2AIV2;A2AIV2-2	Protein virilizer homolog	Kiaa1429	49	sp|A2AIV2|VIR_MOUSE Protein virilizer homolog OS=Mus musculus OX=10090 GN=Virma PE=1 SV=1;sp|A2AIV2-2|VIR_MOUSE Isoform 2 of Protein virilizer homolog OS=Mus musculus OX=10090 GN=Virma
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1	1	1	1	3.5	3.5	3.5	62.461	0	44.566	0	A2AIV8	A2AIV8	Caspase recruitment domain-containing protein 9	Card9	50	sp|A2AIV8|CARD9_MOUSE Caspase recruitment domain-containing protein 9 OS=Mus musculus OX=10090 GN=Card9 PE=1 SV=1
